Timestamp,10.04.2023:13:04:14,,,,
Scans in Average,6,,,,
Termination,10000,,,,
V_RMS(V),0.553909913,,,,
V_DC (V),0.546626599,,,,
RMS_Noise %,18.40850752,,,,
Frequency (Hz), Mag^2 (V^2 / Hz), PSD (dBV^2 / Hz), RIN (dBc / Hz), Integrated Volts RMS, Integrated RIN (%RMS) 
411.272,3.12E-12,-115.0596161,-109.7579727,0.099978162,18.40717644
417.2325,3.06E-12,-115.1358948,-109.8342514,0.099978162,18.40717646
423.193,3.08E-12,-115.1149292,-109.8132935,0.099978162,18.40717648
429.1534,2.30E-12,-116.3793259,-111.0776825,0.099978162,18.40717649
435.1139,1.53E-12,-118.148056,-112.8464127,0.099978162,18.4071765
441.0744,1.25E-12,-119.0372162,-113.7355804,0.099978162,18.40717651
447.0349,2.73E-12,-115.6324921,-110.3308563,0.099978162,18.40717652
452.9953,7.59E-12,-111.1998825,-105.8982468,0.099978163,18.40717655
458.9557,7.40E-12,-111.3104401,-106.0087967,0.099978163,18.40717659
464.9162,1.65E-11,-107.8375854,-102.5359497,0.099978163,18.40717665
470.8767,9.14E-10,-90.3904953,-85.08885956,0.099978177,18.40717921
476.8372,2.32E-08,-76.35002899,-71.04839325,0.099978536,18.40724531
482.7976,2.35E-08,-76.2806015,-70.97896576,0.099979232,18.40737351
488.7581,9.60E-10,-90.17913818,-84.87749481,0.099979598,18.40744076
494.7186,2.08E-11,-106.8253708,-101.523735,0.099979612,18.40744345
500.679,5.43E-12,-112.6493378,-107.347702,0.099979613,18.40744352
506.6395,4.74E-12,-113.2458801,-107.9442444,0.099979613,18.40744355
512.6,2.24E-12,-116.5003967,-111.1987534,0.099979613,18.40744357
518.5604,2.50E-12,-116.0278015,-110.7261581,0.099979613,18.40744358
524.5209,1.66E-12,-117.7942047,-112.492569,0.099979613,18.40744359
530.4813,1.29E-12,-118.8980331,-113.5963898,0.099979613,18.4074436
536.4418,1.60E-12,-117.9526825,-112.6510468,0.099979613,18.40744361
542.4023,1.49E-12,-118.2683258,-112.9666901,0.099979613,18.40744362
548.3627,1.06E-12,-119.7342834,-114.4326401,0.099979613,18.40744362
554.3232,1.17E-12,-119.3310776,-114.0294418,0.099979613,18.40744363
560.2837,2.16E-12,-116.6507568,-111.3491135,0.099979613,18.40744364
566.2441,1.38E-12,-118.5863495,-113.2847137,0.099979613,18.40744365
572.2046,3.54E-12,-114.5098267,-109.2081833,0.099979613,18.40744366
578.165,2.57E-12,-115.8944397,-110.592804,0.099979613,18.40744368
584.1255,1.32E-12,-118.8081436,-113.5065002,0.099979614,18.40744369
590.086,3.45E-12,-114.6180038,-109.3163605,0.099979614,18.4074437
596.0464,1.07E-10,-99.70858002,-94.40694427,0.099979615,18.40744401
602.0069,1.60E-10,-97.95596313,-92.65431976,0.099979619,18.40744474
607.9674,1.28E-11,-108.9253693,-103.6237259,0.099979622,18.40744521
613.9279,9.74E-13,-120.11409,-114.8124542,0.099979622,18.40744525
619.8883,1.43E-12,-118.4377213,-113.1360779,0.099979622,18.40744526
625.8488,2.91E-12,-115.3593674,-110.057724,0.099979622,18.40744527
631.8092,1.05E-12,-119.7736206,-114.4719772,0.099979622,18.40744528
637.7697,1.09E-12,-119.6268921,-114.3252563,0.099979622,18.40744529
643.7302,1.31E-12,-118.811676,-113.5100327,0.099979622,18.40744529
649.6906,1.16E-12,-119.3651276,-114.0634842,0.099979622,18.4074453
655.6511,2.12E-12,-116.7281036,-111.4264603,0.099979622,18.40744531
661.6116,2.31E-12,-116.3710785,-111.0694427,0.099979622,18.40744532
667.572,6.62E-13,-121.7889023,-116.4872665,0.099979622,18.40744533
673.5325,8.80E-13,-120.5535583,-115.2519226,0.099979622,18.40744533
679.4929,1.24E-12,-119.0607758,-113.75914,0.099979622,18.40744534
685.4534,1.37E-12,-118.6341629,-113.3325195,0.099979623,18.40744535
691.4139,1.58E-12,-118.0267715,-112.7251282,0.099979623,18.40744535
697.3743,1.49E-12,-118.2750244,-112.973381,0.099979623,18.40744536
703.3348,1.08E-12,-119.6603546,-114.3587112,0.099979623,18.40744537
709.2953,1.45E-11,-108.3982697,-103.0966339,0.099979623,18.40744541
715.2557,1.50E-09,-88.2271347,-82.92549133,0.099979645,18.40744958
721.2162,3.04E-09,-85.16945648,-79.86781311,0.099979713,18.40746205
727.1766,3.53E-10,-94.52766418,-89.22602081,0.099979764,18.40747136
733.1371,2.37E-12,-116.2557373,-110.9541016,0.099979769,18.40747234
739.0976,1.22E-12,-119.1365814,-113.8349457,0.099979769,18.40747235
745.058,2.29E-12,-116.404686,-111.1030502,0.099979769,18.40747236
751.0186,6.46E-13,-121.8959045,-116.5942612,0.099979769,18.40747237
756.979,8.26E-13,-120.8313293,-115.5296936,0.099979769,18.40747237
762.9395,4.28E-13,-123.6820755,-118.3804321,0.099979769,18.40747237
768.8999,7.37E-13,-121.3268967,-116.0252533,0.099979769,18.40747238
774.8604,1.00E-12,-119.9932709,-114.6916351,0.099979769,18.40747238
780.8209,8.04E-13,-120.9457016,-115.6440582,0.099979769,18.40747239
786.7813,8.15E-13,-120.8910828,-115.5894394,0.099979769,18.40747239
792.7418,1.25E-12,-119.0447769,-113.7431335,0.099979769,18.4074724
798.7023,1.42E-12,-118.4655685,-113.1639252,0.099979769,18.4074724
804.6627,7.93E-13,-121.0082016,-115.7065659,0.099979769,18.40747241
810.6232,6.68E-13,-121.7548752,-116.4532318,0.09997977,18.40747241
816.5836,5.57E-13,-122.5413895,-117.2397461,0.09997977,18.40747242
822.5441,6.25E-13,-122.043335,-116.7416992,0.09997977,18.40747242
828.5046,2.99E-12,-115.2459869,-109.9443512,0.09997977,18.40747243
834.465,1.29E-09,-88.88158417,-83.5799408,0.099979789,18.40747599
840.4255,3.74E-09,-84.27532196,-78.97368622,0.099979864,18.40748979
